,X,EH_ID,experiment,completed_mice,labels,Repeated_DNA_extract,dpi,Utilised_fecal_mass_for_DNA_extraction_in grams,Extraction_round_1,Extraction_round_2,Errors_during_extraction,E57_Sample_status,VJD_Sample_status,Faeces_for_RNA-SEQ,Date_of_extraction,Executor,Sample_location,V_H20,Date and Time,Nucleic Acid Conc.,Unit,A260,A280,260/280,260/230,Sample Type
132,110,LM0188,E57,XX,E57aABV,,7,0.0207,with_beads,with_beads,,Found,Unknown,,21.03.2022,Alexa,Box_3_Row_5,,4/26/2022 7:43:36 PM,30.8,ng/µl,0.617,0.34,1.81,0.96,D
133,119,LM0188,E57,XX,E57aCHW,,8,0.0908,with_beads,with_beads,,Found,Unknown,,11.03.2022_B1,Dileshi,Box_3_Row_5,,3/11/2022 6:16:30 PM,216.5,ng/µl,4.33,2.482,1.74,1.37,D
134,112,LM0188,E57,XX,E57aAOY,,9,0.0316,with_beads,with_beads,,Empty,Found,,22.04.2022_B1,Dileshi,Box_3_Row_5,,4/22/2022 5:29:48 PM,314.9,ng/µl,6.299,3.502,1.8,1.87,D
135,111,LM0188,E57,XX,E57aKWX,,10,0.0640,with_beads,with_beads,,Found,Found,,22.04.2022_B2,Dileshi,Box_3_Row_5,,4/22/2022 8:21:10 PM,278.5,ng/µl,5.57,3.108,1.79,2.14,D
136,115,LM0188,E57,XX,E57aAOW,,11,0.0805,with_beads,with_beads,,Found,Found,Available,22.04.2022_B2,Dileshi,Box_3_Row_5,,4/22/2022 8:26:07 PM,302.2,ng/µl,6.043,3.322,1.82,1.94,D
137,124,LM0189,E57,,E57aDGS,,0,,,,,Found,Found,,,,Box_12unlabeled_Row_1,,,,,,,,,
138,122,LM0189,E57,,E57aHOX,,1,,,,,Found,Found,,,,Box_12unlabeled_Row_1,,,,,,,,,
139,128,LM0189,E57,,E57aRSW,,2,,,,,Found,Found,,,,Box_12unlabeled_Row_1,,,,,,,,,
140,126,LM0189,E57,,E57aEKR,,3,,,,,Found,Unknown,,,,Box_12unlabeled_Row_1,,,,,,,,,
141,129,LM0189,E57,,E57aGQX,,4,,,,,Found,Found,,,,Box_12unlabeled_Row_1,,,,,,,,,
142,130,LM0189,E57,,E57aVWX,,5,,,,,Found,Found,,,,Box_12unlabeled_Row_1,,,,,,,,,
143,127,LM0189,E57,,E57aVWX2,,6,0.1047,with_beads,with_beads,,Found,Found,Available,11.03.2022_B2,Dileshi,Box_12unlabeled_Row_1,,3/11/2022 5:56:57 PM,143.5,ng/µl,2.871,1.541,1.86,2.2,D
144,123,LM0189,E57,,E57aCEP,,7,,,,,Empty,Unknown,,,,Box_12unlabeled_Row_1,,,,,,,,,
145,132,LM0189,E57,,E57aNSZ,,8,,,,,Empty,Unknown,,,,Box_12unlabeled_Row_1,,,,,,,,,
146,125,LM0189,E57,,E57aNSZ2,,9,,,,,Unknown,Found,,,,Box_12unlabeled_Row_1,,,,,,,,,
147,131,LM0189,E57,,E57aPWY,,10,,,,,Unknown,Unknown,,,,Box_12unlabeled_Row_1,,,,,,,,,
148,121,LM0189,E57,,E57aAIZ,,11,,,,,Unknown,Unknown,,,,Box_12unlabeled_Row_1,,,,,,,,,
149,135,LM0190,E57,XX,E57aJNS,,0,0.0584,with_beads,with_beads,,Found,Found,,21.04.2022_B2,Dileshi,Box_4_Row_1,,4/21/2022 4:44:40 PM,226.3,ng/µl,4.527,2.459,1.84,2.04,D
150,140,LM0190,E57,XX,E57aLUW,,1,0.0799,with_beads,with_beads,,Found,Found,Available,21.04.2022_B1,Dileshi,Box_4_Row_1,,4/21/2022 12:33:58 PM,246.2,ng/µl,4.925,2.755,1.79,1.73,D
151,134,LM0190,E57,XX,E57aFJO,,2,0.0215,with_beads,with_beads,,Found,Unknown,,23.04.2022_B1,Dileshi,Box_4_Row_1,,4/23/2022 4:39:15 PM,37.1,ng/µl,0.742,0.414,1.79,1.41,D
152,133,LM0190,E57,XX,E57aHJX,,3,,,,,Empty,Unknown,,,,Box_4_Row_1,,,,,,,,,
