EH_ID,labels,dpi,weight,weight_dpi0,weightloss,fecweight_flot,Expe,Eimeria,fecweight_DNA,Conc_DNA,P260_280,P260_230,V_H2O,Moist,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,dilution,mean_Neubauer,oocysts.per.tube,OPG,Locality,Genome,Strain,IDD,Dam,Gen,Sir,IDS,Sir.1,Gen.1,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen.2,Wean,BW10,BW20,Clip,Parent1,Parent2,HybridStatus,ageAtdpi0expe1a,Batch,Total_DNA,Microbial_density,Genome_copies_mean,Tm_mean,Infection,Genome_copies_ngDNA,DNA_sample,DNA_g_feces,Genome_copies_gFaeces
LM0206,BEM,6,16.29,16.97,4.0070713023,1.33,Expe005_1b,E64,0.117,133.5,1.87,1.73,83.5,1,519,396,575,455,1,486.25,4862500,3656015.037593985,Buskovice,mus,BUSNA_BUSNA,SY,8209,62,BUSNA,SY,8208,62,2018-04-20,1,3,1,2,EX,873,F,63,1F,5.1,8.63,L4,BUSNA,BUSNA,parental strains,11.4285714286,1,4.005,0.03423076923076923,1491866.6328562507,74.5,Positive,29837.332657125015,4005,34230.76923076923,1021354848.6477407
LM0206,ERU,1,17.39,16.97,-2.4749558044,NA,Expe005_1b,E64,0.067,134.9,1.87,2,84.9,0,NA,NA,NA,NA,NA,NA,NA,0,Buskovice,mus,BUSNA_BUSNA,SY,8209,62,BUSNA,SY,8208,62,2018-04-20,1,3,1,2,EX,873,F,63,1F,5.1,8.63,L4,BUSNA,BUSNA,parental strains,11.4285714286,1,4.047,0.06040298507462686,0,0,Negative,0,4047,60402.985074626864,0
LM0206,LOW,3,17.4,16.97,-2.5338833235,0.69,Expe005_1b,E64,0.155,94.2,1.85,2.23,44.2,1,0,0,0,0,1,0,0,0,Buskovice,mus,BUSNA_BUSNA,SY,8209,62,BUSNA,SY,8208,62,2018-04-20,1,3,1,2,EX,873,F,63,1F,5.1,8.63,L4,BUSNA,BUSNA,parental strains,11.4285714286,1,2.826,0.01823225806451613,477.3656220941535,74.5,Positive,9.54731244188307,2826,18232.25806451613,174069.06426297777
LM0206,MWZ,8,16.23,16.97,4.3606364172,1.35,Expe005_1b,E64,0.132,95.3,1.86,1.47,45.3,0,1,0,2,1,1,1,10000,7407.407407407407,Buskovice,mus,BUSNA_BUSNA,SY,8209,62,BUSNA,SY,8208,62,2018-04-20,1,3,1,2,EX,873,F,63,1F,5.1,8.63,L4,BUSNA,BUSNA,parental strains,11.4285714286,1,2.859,0.02165909090909091,7254.889623351979,74.16666666666667,Positive,145.09779246703957,2859,21659.090909090908,3142686.2777520157
LM0206,DHK,9,16.75,16.97,1.2964054213,0.68,Expe005_1b,E64,0.078,160.3,1.92,2.28,110.3,0,0,0,0,0,1,0,0,0,Buskovice,mus,BUSNA_BUSNA,SY,8209,62,BUSNA,SY,8208,62,2018-04-20,1,3,1,2,EX,873,F,63,1F,5.1,8.63,L4,BUSNA,BUSNA,parental strains,11.4285714286,1,4.809,0.061653846153846156,1069.0016610188047,74.5,Positive,21.380033220376095,4809,61653.846153846156,1318161.2789331877
LM0206,KOX,0,16.97,16.97,0,1.47,Expe005_1b,E64,0.081,156.4,1.9,2.19,106.4,0,0,0,0,0,1,0,0,0,Buskovice,mus,BUSNA_BUSNA,SY,8209,62,BUSNA,SY,8208,62,2018-04-20,1,3,1,2,EX,873,F,63,1F,5.1,8.63,L4,BUSNA,BUSNA,parental strains,11.4285714286,1,4.692,0.05792592592592593,0,0,Negative,0,4692,57925.92592592593,0
LM0206,FJL,10,16.22,16.97,4.4195639364,1.26,Expe005_1b,E64,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,Buskovice,mus,BUSNA_BUSNA,SY,8209,62,BUSNA,SY,8208,62,2018-04-20,1,3,1,2,EX,873,F,63,1F,5.1,8.63,L4,BUSNA,BUSNA,parental strains,11.4285714286,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM0206,BUV,5,15.27,16.97,10.0176782557,0.6,Expe005_1b,E64,0.141,118.4,1.84,1.53,68.4,1,0,0,0,1,1,0,0,0,Buskovice,mus,BUSNA_BUSNA,SY,8209,62,BUSNA,SY,8208,62,2018-04-20,1,3,1,2,EX,873,F,63,1F,5.1,8.63,L4,BUSNA,BUSNA,parental strains,11.4285714286,1,3.552,0.025191489361702128,2225899.535265838,74.5,Positive,44517.990705316755,3552,25191.48936170213,1121474489.2573414
LM0206,AIS,4,15.86,16.97,6.5409546258,0.88,Expe005_1b,E64,0.221,94.7,1.95,0.43,44.7,1,0,0,0,0,1,0,0,0,Buskovice,mus,BUSNA_BUSNA,SY,8209,62,BUSNA,SY,8208,62,2018-04-20,1,3,1,2,EX,873,F,63,1F,5.1,8.63,L4,BUSNA,BUSNA,parental strains,11.4285714286,1,2.841,0.012855203619909503,1170218.3980043624,74.5,Positive,23404.367960087246,2841,12855.203619909502,300867915.72220755
LM0206,FIW,2,16.21,16.97,4.4784914555,NA,Expe005_1b,E64,0.168,70.8,1.88,1.41,20.8,1,NA,NA,NA,NA,NA,NA,NA,0,Buskovice,mus,BUSNA_BUSNA,SY,8209,62,BUSNA,SY,8208,62,2018-04-20,1,3,1,2,EX,873,F,63,1F,5.1,8.63,L4,BUSNA,BUSNA,parental strains,11.4285714286,1,2.124,0.012642857142857143,0,0,Negative,0,2124,12642.857142857141,0
LM0206,BPU,7,16.89,16.97,0.4714201532,0.9,Expe005_1b,E64,0.069,157.4,1.92,2.37,107.4,0,28,25,51,47,1,37.75,377500,419444.44444444444,Buskovice,mus,BUSNA_BUSNA,SY,8209,62,BUSNA,SY,8208,62,2018-04-20,1,3,1,2,EX,873,F,63,1F,5.1,8.63,L4,BUSNA,BUSNA,parental strains,11.4285714286,1,4.722,0.06843478260869566,46512.904050937905,74.5,Positive,930.258081018758,4722,68434.78260869565,63662009.54450109
LM0207,BNW,8,17.2,17.27,0.4053271569,0.83,Expe005_1b,E64,0.112,47.3,1.91,1.32,NA,0,17,36,30,29,1,28,280000,337349.3975903615,Prague,mus,PWD_PWD,SY,5343,42,PWD,SY,5340,42,2018-03-07,3,9,5,4,EX,664,M,43,1M,4.53,5.37,P3,PWD,PWD,parental strains,17.7142857143,1,1.419,0.012669642857142857,67035.89684614689,74.33333333333333,Positive,1340.7179369229377,1419,12669.642857142857,16986417.432979006
LM0207,KTU,6,15.62,17.27,9.5541401274,0.53,Expe005_1b,E64,0.068,97.1,1.93,1.48,47.1,1,95,109,145,124,1,118.25,1182500,2231132.075471698,Prague,mus,PWD_PWD,SY,5343,42,PWD,SY,5340,42,2018-03-07,3,9,5,4,EX,664,M,43,1M,4.53,5.37,P3,PWD,PWD,parental strains,17.7142857143,1,2.9130000000000003,0.04283823529411765,3485288.575892523,74.5,Positive,69705.77151785046,2913,42838.23529411764,2986072241.639682
LM0207,FOX,2,16.72,17.27,3.1847133758,NA,Expe005_1b,E64,0.071,85.9,1.88,1.79,35.9,0,NA,NA,NA,NA,NA,NA,NA,0,Prague,mus,PWD_PWD,SY,5343,42,PWD,SY,5340,42,2018-03-07,3,9,5,4,EX,664,M,43,1M,4.53,5.37,P3,PWD,PWD,parental strains,17.7142857143,1,2.577,0.03629577464788732,0,0,Negative,0,2577,36295.77464788733,0
LM0207,ADP,9,17.39,17.27,-0.6948465547,0.76,Expe005_1b,E64,0.09,96.6,1.96,1.99,46.6,1,20,9,8,8,1,11.25,112500,148026.31578947368,Prague,mus,PWD_PWD,SY,5343,42,PWD,SY,5340,42,2018-03-07,3,9,5,4,EX,664,M,43,1M,4.53,5.37,P3,PWD,PWD,parental strains,17.7142857143,1,2.898,0.0322,80099.7846855857,74.5,Positive,1601.995693711714,2898,32200,51584261.337517194
LM0207,BHT,5,16,17.27,7.3537927041,0.25,Expe005_1b,E64,0.133,132.5,1.87,1.94,82.5,1,7,15,13,13,1,12,120000,480000,Prague,mus,PWD_PWD,SY,5343,42,PWD,SY,5340,42,2018-03-07,3,9,5,4,EX,664,M,43,1M,4.53,5.37,P3,PWD,PWD,parental strains,17.7142857143,1,3.975,0.02988721804511278,3057150.5650424026,74.5,Positive,61143.011300848055,3975,29887.21804511278,1827394510.6832407
LM0207,ANQ,3,17.25,17.27,0.1158077591,0.53,Expe005_1b,E64,0.058,88.4,1.87,2.09,38.4,0,0,0,0,0,1,0,0,0,Prague,mus,PWD_PWD,SY,5343,42,PWD,SY,5340,42,2018-03-07,3,9,5,4,EX,664,M,43,1M,4.53,5.37,P3,PWD,PWD,parental strains,17.7142857143,1,2.652,0.045724137931034484,2722.8551824887077,74.5,Positive,54.457103649774155,2652,45724.13793103448,2490004.1186069148
LM0207,CPY,0,17.27,17.27,0,1.03,Expe005_1b,E64,0.092,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,Prague,mus,PWD_PWD,SY,5343,42,PWD,SY,5340,42,2018-03-07,3,9,5,4,EX,664,M,43,1M,4.53,5.37,P3,PWD,PWD,parental strains,17.7142857143,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM0207,EHM,10,17.61,17.27,-1.968731905,0.85,Expe005_1b,E64,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,Prague,mus,PWD_PWD,SY,5343,42,PWD,SY,5340,42,2018-03-07,3,9,5,4,EX,664,M,43,1M,4.53,5.37,P3,PWD,PWD,parental strains,17.7142857143,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM0207,BEP,7,16.71,17.27,3.2426172554,0.91,Expe005_1b,E64,0.046,86,1.93,2.41,36,0,138,102,156,87,1,120.75,1207500,1326923.0769230768,Prague,mus,PWD_PWD,SY,5343,42,PWD,SY,5340,42,2018-03-07,3,9,5,4,EX,664,M,43,1M,4.53,5.37,P3,PWD,PWD,parental strains,17.7142857143,1,2.58,0.05608695652173913,1553473.6379963646,74.5,Positive,31069.472759927292,2580,56086.95652173913,1742592167.8394003
LM0207,JKO,4,16.79,17.27,2.7793862189,0.96,Expe005_1b,E64,0.066,64.5,1.87,2.26,14.5,1,0,1,0,0,1,0,0,0,Prague,mus,PWD_PWD,SY,5343,42,PWD,SY,5340,42,2018-03-07,3,9,5,4,EX,664,M,43,1M,4.53,5.37,P3,PWD,PWD,parental strains,17.7142857143,1,1.935,0.02931818181818182,437350.67063477985,74.5,Positive,8747.013412695596,1935,29318.181818181816,256446529.5994845
LM0207,FNU,1,17.8,17.27,-3.0689056167,NA,Expe005_1b,E64,0.075,58.8,1.84,1.87,8.8,0,NA,NA,NA,NA,NA,NA,NA,0,Prague,mus,PWD_PWD,SY,5343,42,PWD,SY,5340,42,2018-03-07,3,9,5,4,EX,664,M,43,1M,4.53,5.37,P3,PWD,PWD,parental strains,17.7142857143,1,1.764,0.02352,0,0,Negative,0,1764,23520,0
LM0208,LOU,9,23.24,22.82,-1.8404907975,1.2,Expe005_1b,E64,0.108,98.1,1.86,2.45,48.1,1,25,15,16,16,1,18,180000,150000,STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-03-21,3,11,7,4,EX,709,M,F1,1M,5.74,11.35,P2,STRA,SCHUNT,outbred hybrids,15.7142857143,1,2.943,0.02725,17621.787224328997,74.5,Positive,352.43574448657995,2943,27250,9603874.037259303
LM0208,PSV,5,22.06,22.82,3.3304119194,0.96,Expe005_1b,E64,0.147,58.6,1.93,1.65,8.6,1,0,24,10,4,1,9.5,95000,98958.33333333334,STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-03-21,3,11,7,4,EX,709,M,F1,1M,5.74,11.35,P2,STRA,SCHUNT,outbred hybrids,15.7142857143,1,1.758,0.011959183673469388,3575660.7447457667,74.5,Positive,71513.21489491533,1758,11959.183673469388,855239672.0085794
LM0208,FHX,7,22.66,22.82,0.7011393514,1.64,Expe005_1b,E64,0.06,130.2,1.9,2.38,80.2,0,81,89,100,97,2,91.75,1835000,1118902.4390243904,STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-03-21,3,11,7,4,EX,709,M,F1,1M,5.74,11.35,P2,STRA,SCHUNT,outbred hybrids,15.7142857143,1,3.9059999999999997,0.06509999999999999,1070293.8309113553,74.5,Positive,21405.876618227107,3905.9999999999995,65099.99999999999,1393522567.8465846
LM0208,MTZ,10,22.87,22.82,-0.2191060473,1.28,Expe005_1b,E64,0.199,87.6,1.88,1.15,37.6,1,0,0,1,0,1,0,0,0,STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-03-21,3,11,7,4,EX,709,M,F1,1M,5.74,11.35,P2,STRA,SCHUNT,outbred hybrids,15.7142857143,1,2.628,0.01320603015075377,1529.539451896499,74.5,Positive,30.59078903792998,2628,13206.030150753768,403982.8823702512
LM0208,FHR,8,23.44,22.82,-2.7169149869,1.78,Expe005_1b,E64,0.124,148.7,1.83,1.92,98.7,0,22,10,15,16,1,15.75,157500,88483.14606741573,STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-03-21,3,11,7,4,EX,709,M,F1,1M,5.74,11.35,P2,STRA,SCHUNT,outbred hybrids,15.7142857143,1,4.461,0.035975806451612906,268851.7222550602,74.5,Positive,5377.034445101204,4461,35975.8064516129,193443150.4806167
LM0208,AFV,4,22.74,22.82,0.3505696757,1.7,Expe005_1b,E64,0.173,95.6,1.89,1.97,45.6,1,1,0,0,0,1,0,0,0,STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-03-21,3,11,7,4,EX,709,M,F1,1M,5.74,11.35,P2,STRA,SCHUNT,outbred hybrids,15.7142857143,1,2.868,0.016578034682080925,2864574.9570359173,74.5,Positive,57291.49914071835,2868,16578.034682080925,949780459.7432382
LM0208,DIT,1,23.15,22.82,-1.4460999124,NA,Expe005_1b,E64,0.15,77.4,1.87,1.69,27.4,0,NA,NA,NA,NA,NA,NA,NA,0,STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-03-21,3,11,7,4,EX,709,M,F1,1M,5.74,11.35,P2,STRA,SCHUNT,outbred hybrids,15.7142857143,1,2.322,0.01548,0,0,Negative,0,2322,15480,0
LM0208,IOV,2,23.39,22.82,-2.4978089395,NA,Expe005_1b,E64,0.127,80.9,1.89,1.95,30.9,1,NA,NA,NA,NA,NA,NA,NA,0,STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-03-21,3,11,7,4,EX,709,M,F1,1M,5.74,11.35,P2,STRA,SCHUNT,outbred hybrids,15.7142857143,1,2.427,0.01911023622047244,0,0,Negative,0,2427,19110.23622047244,0
LM0208,GQU,0,22.82,22.82,0,1.94,Expe005_1b,E64,0.134,64.5,1.85,0.2,14.5,1,0,0,0,0,1,0,0,0,STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-03-21,3,11,7,4,EX,709,M,F1,1M,5.74,11.35,P2,STRA,SCHUNT,outbred hybrids,15.7142857143,1,1.935,0.014440298507462687,0,0,Negative,0,1935,14440.298507462685,0
LM0208,DPV,6,21.83,22.82,4.3382997371,0.68,Expe005_1b,E64,0.126,131.6,1.89,0.5,81.6,1,59,48,72,54,1,58.25,582500,856617.6470588235,STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-03-21,3,11,7,4,EX,709,M,F1,1M,5.74,11.35,P2,STRA,SCHUNT,outbred hybrids,15.7142857143,1,3.948,0.03133333333333333,3280044.319823586,73.83333333333333,Positive,65600.88639647172,3948,31333.333333333332,2055494440.4227803
LM0208,LOX,3,24.15,22.82,-5.8282208589,1.31,Expe005_1b,E64,0.139,76.2,1.95,0.48,26.2,1,0,0,0,0,1,0,0,0,STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-03-21,3,11,7,4,EX,709,M,F1,1M,5.74,11.35,P2,STRA,SCHUNT,outbred hybrids,15.7142857143,1,2.286,0.016446043165467626,988.5992306154919,74.5,Positive,19.77198461230984,2286,16446.043165467625,325170.9124010093
LM0209,ASY,10,22.55,22.09,-2.0823902218,1.24,Expe005_1b,E64,0.204,115.4,1.85,1.45,65.4,1,0,0,0,0,1,0,0,0,Straas2,dom,STRA_STRA,SY,8113,56,STRA,SY,8111,56,2018-04-03,1,9,2,7,EX,772,F,57,1F,5.71,9.23,P5,STRA,STRA,parental strains,13.8571428571,1,3.462,0.01697058823529412,2085.845621249474,73.33333333333333,Positive,41.71691242498948,3462,16970.58823529412,707960.5432123216
LM0209,HPQ,0,22.09,22.09,0,1.08,Expe005_1b,E64,0.17,18.6,1.7,0.76,NA,1,0,0,0,0,1,0,0,0,Straas2,dom,STRA_STRA,SY,8113,56,STRA,SY,8111,56,2018-04-03,1,9,2,7,EX,772,F,57,1F,5.71,9.23,P5,STRA,STRA,parental strains,13.8571428571,1,0.558,0.003282352941176471,0,0,Negative,0,558,3282.3529411764703,0
LM0209,LMY,8,22.94,22.09,-3.8478949751,1.26,Expe005_1b,E64,0.206,44.6,1.83,1.74,NA,1,1,3,1,2,1,1.75,17500,13888.888888888889,Straas2,dom,STRA_STRA,SY,8113,56,STRA,SY,8111,56,2018-04-03,1,9,2,7,EX,772,F,57,1F,5.71,9.23,P5,STRA,STRA,parental strains,13.8571428571,1,1.338,0.006495145631067962,7122.329233148882,74.5,Positive,142.44658466297764,1338,6495.145631067961,925211.3120342917
LM0209,AFO,5,20.32,22.09,8.0126754187,1.11,Expe005_1b,E64,0.132,85.3,1.83,1.76,35.3,1,3,5,6,9,1,5.75,57500,51801.8018018018,Straas2,dom,STRA_STRA,SY,8113,56,STRA,SY,8111,56,2018-04-03,1,9,2,7,EX,772,F,57,1F,5.71,9.23,P5,STRA,STRA,parental strains,13.8571428571,1,2.559,0.01938636363636364,1885292.3029755454,74.5,Positive,37705.846059510906,2559,19386.363636363636,730979242.9264274
LM0209,GNX,4,21.54,22.09,2.4898143957,1.72,Expe005_1b,E64,0.137,75.8,1.83,2.21,25.8,1,0,0,0,1,1.5,0,0,0,Straas2,dom,STRA_STRA,SY,8113,56,STRA,SY,8111,56,2018-04-03,1,9,2,7,EX,772,F,57,1F,5.71,9.23,P5,STRA,STRA,parental strains,13.8571428571,1,2.274,0.016598540145985403,3155677.689478181,74.5,Positive,63113.553789563615,2274,16598.5401459854,1047592856.3318807
LM0209,HIM,3,22.22,22.09,-0.5885015844,1.14,Expe005_1b,E64,0.233,65.6,1.86,0.5,15.6,0,0,0,0,0,1,0,0,0,Straas2,dom,STRA_STRA,SY,8113,56,STRA,SY,8111,56,2018-04-03,1,9,2,7,EX,772,F,57,1F,5.71,9.23,P5,STRA,STRA,parental strains,13.8571428571,1,1.9679999999999997,0.00844635193133047,1133.084874315399,74.5,Positive,22.66169748630798,1967.9999999999998,8446.351931330471,191408.67233070428
LM0209,IUY,2,22.59,22.09,-2.2634676324,NA,Expe005_1b,E64,0.118,89.1,1.86,1.56,39.1,0,NA,NA,NA,NA,NA,NA,NA,0,Straas2,dom,STRA_STRA,SY,8113,56,STRA,SY,8111,56,2018-04-03,1,9,2,7,EX,772,F,57,1F,5.71,9.23,P5,STRA,STRA,parental strains,13.8571428571,1,2.673,0.022652542372881355,0,0,Negative,0,2673,22652.54237288136,0
LM0209,DHQ,6,21.71,22.09,1.7202354006,1.38,Expe005_1b,E64,0.163,101.3,1.88,2.05,51.3,1,80,79,83,95,1,84.25,842500,610507.2463768116,Straas2,dom,STRA_STRA,SY,8113,56,STRA,SY,8111,56,2018-04-03,1,9,2,7,EX,772,F,57,1F,5.71,9.23,P5,STRA,STRA,parental strains,13.8571428571,1,3.039,0.018644171779141107,423684.8629960666,74.5,Positive,8473.697259921331,3039,18644.171779141103,157985067.31841058
LM0209,GKL,9,23.11,22.09,-4.6174739701,1.26,Expe005_1b,E64,0.093,50,1.9,1.51,0,1,0,0,1,0,1,0,0,0,Straas2,dom,STRA_STRA,SY,8113,56,STRA,SY,8111,56,2018-04-03,1,9,2,7,EX,772,F,57,1F,5.71,9.23,P5,STRA,STRA,parental strains,13.8571428571,1,1.5,0.016129032258064516,4983.9173781846575,74.5,Positive,99.67834756369315,1500,16129.032258064517,1607715.2832853736
LM0209,FOZ,1,21.96,22.09,0.5885015844,NA,Expe005_1b,E64,0.238,81.6,1.84,2.18,31.6,1,NA,NA,NA,NA,NA,NA,NA,0,Straas2,dom,STRA_STRA,SY,8113,56,STRA,SY,8111,56,2018-04-03,1,9,2,7,EX,772,F,57,1F,5.71,9.23,P5,STRA,STRA,parental strains,13.8571428571,1,2.448,0.010285714285714285,200.9672155019672,74.16666666666667,Positive,4.019344310039344,2448,10285.714285714286,41341.82718897611
LM0209,NOQ,7,22.57,22.09,-2.1729289271,1.29,Expe005_1b,E64,0.144,123.8,1.89,2.19,73.8,1,18,22,22,19,1,20.25,202500,156976.7441860465,Straas2,dom,STRA_STRA,SY,8113,56,STRA,SY,8111,56,2018-04-03,1,9,2,7,EX,772,F,57,1F,5.71,9.23,P5,STRA,STRA,parental strains,13.8571428571,1,3.714,0.025791666666666668,154584.3673209557,73.83333333333333,Positive,3091.687346419114,3714,25791.666666666668,79739769.47639298
