"","EH_ID","experiment","labels","weight","weight_dpi0","relative_weight","fecweight_flot","dpi","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","Locality","Genome","mouse_strain","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","primary_infection","InfectionStrain","challenge_infection","contamination","infection_history","InfectionHistoryTotal","Conc_DNA","A260","A280","R260.280","R260.230","Fecal_status","Mouse_status","fecweight_DNA","Extraction_round_1","Extraction_round_2","Faeces_for_RNA.Extraction","mean_Neubauer","oocysts.per.tube","OPG","Total_DNA","Microbial_density","Genome_copies","Tm","Infection","Genome_copies_ngDNA","DNA_sample","DNA_g_feces","Genome_copies_gFaeces"
"360","LM0231","E57","E57aFLR",17.67,18.71,94.4414751469802,1.19,"11",10,6,8,10,2,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",979,"F","F1","1F","5.91",10.38,"L5",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E88","E64","E64",NA,"E88:E64","NA E88 E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,170000,142857.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","LM0232","E57","E57aBGK",24.14,24.14,100,1.33,"0",0,0,0,0,1,"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,"2018-04-25",4,2,"2","0","EX",902,"M","F1","1M","7.8",12.45,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",10.71428571,2,"E88","E88","E88",NA,"E88:E88","NA E88 E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","LM0232","E57","E57aCQX",24.26,24.14,100.49710024855,0,"1",NA,NA,NA,NA,1,"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,"2018-04-25",4,2,"2","0","EX",902,"M","F1","1M","7.8",12.45,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",10.71428571,2,"E88","E88","E88",NA,"E88:E88","NA E88 E88",125.4,2.507,1.394,1.8,0.97,NA,NA,0.0713,"no_beads","no_beads",NA,NA,NA,0,5.016,0.0703506311360449,NA,NA,NA,NA,5016,70350.6311360449,NA
"363","LM0232","E57","E57aHNQ",24.08,24.14,99.7514498757249,0,"2",NA,NA,NA,NA,1,"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,"2018-04-25",4,2,"2","0","EX",902,"M","F1","1M","7.8",12.45,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",10.71428571,2,"E88","E88","E88",NA,"E88:E88","NA E88 E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","LM0232","E57","E57aCSY",24.08,24.14,99.7514498757249,0,"3",NA,NA,NA,NA,1,"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,"2018-04-25",4,2,"2","0","EX",902,"M","F1","1M","7.8",12.45,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",10.71428571,2,"E88","E88","E88",NA,"E88:E88","NA E88 E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","LM0232","E57","E57aANW",23.86,24.14,98.8400994200497,1.7,"4",0,0,0,0,1,"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,"2018-04-25",4,2,"2","0","EX",902,"M","F1","1M","7.8",12.45,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",10.71428571,2,"E88","E88","E88",NA,"E88:E88","NA E88 E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","LM0232","E57","E57aEMO",23.76,24.14,98.4258492129246,1.74,"5",0,0,0,0,1,"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,"2018-04-25",4,2,"2","0","EX",902,"M","F1","1M","7.8",12.45,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",10.71428571,2,"E88","E88","E88",NA,"E88:E88","NA E88 E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Available",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","LM0232","E57","E57aEGZ",23.55,24.14,97.5559237779619,1.41,"6",0,0,0,0,1,"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,"2018-04-25",4,2,"2","0","EX",902,"M","F1","1M","7.8",12.45,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",10.71428571,2,"E88","E88","E88",NA,"E88:E88","NA E88 E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Available",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","LM0232","E57","E57aHKN",23.1,24.14,95.6917978458989,1.54,"7",10,5,14,9,1,"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,"2018-04-25",4,2,"2","0","EX",902,"M","F1","1M","7.8",12.45,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",10.71428571,2,"E88","E88","E88",NA,"E88:E88","NA E88 E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,95000,61688.3116883117,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","LM0232","E57","E57aBDG",22.6,24.14,93.6205468102734,0.57,"8",89,72,158,105,1,"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,"2018-04-25",4,2,"2","0","EX",902,"M","F1","1M","7.8",12.45,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",10.71428571,2,"E88","E88","E88",NA,"E88:E88","NA E88 E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,1060000,1859649.12280702,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","LM0232","E57","E57aNOT",21.82,24.14,90.3893951946976,0.53,"9",17,20,18,44,1,"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,"2018-04-25",4,2,"2","0","EX",902,"M","F1","1M","7.8",12.45,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",10.71428571,2,"E88","E88","E88",NA,"E88:E88","NA E88 E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.75,247500,466981.132075472,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","LM0232","E57","E57aKRU",21.77,24.14,90.182270091135,0.81,"10",8,8,8,14,1,"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,"2018-04-25",4,2,"2","0","EX",902,"M","F1","1M","7.8",12.45,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",10.71428571,2,"E88","E88","E88",NA,"E88:E88","NA E88 E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,95000,117283.950617284,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","LM0232","E57","E57aBDY",23.35,24.14,96.7274233637117,1.38,"11",2,4,5,6,2,"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,"2018-04-25",4,2,"2","0","EX",902,"M","F1","1M","7.8",12.45,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",10.71428571,2,"E88","E88","E88",NA,"E88:E88","NA E88 E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,85000,61594.2028985507,NA,NA,800.950532890243,74.9115295410156,"Positive",16.0190106578049,NA,NA,NA
"373","LM0233","E57","E57aAJW",24.55,24.55,100,1.02,"0",0,0,0,0,1,"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,"2018-05-03",2,7,"6","1","EX",953,"F","57","1F","7.91",11.69,"L2",NA,"REZERVA","STRA","STRA","parental strains",9.571428571,2,"E88","E88","E88",NA,"E88:E88","NA E88 E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","LM0233","E57","E57aBCL",24.77,24.55,100.896130346232,0,"1",NA,NA,NA,NA,1,"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,"2018-05-03",2,7,"6","1","EX",953,"F","57","1F","7.91",11.69,"L2",NA,"REZERVA","STRA","STRA","parental strains",9.571428571,2,"E88","E88","E88",NA,"E88:E88","NA E88 E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
